YYYY/MM/DD HH:MM:SS,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2021/07/08 18:52:24,1.8.1,ClosedEcon_PR1,5,4.02,1,7,Left,Left,26,10,6,6,nan,nan,0.14
2021/07/08 18:52:25,1.8.1,ClosedEcon_PR1,5,4.02,1,7,Left,Left,27,10,6,6,nan,nan,0.17
2021/07/08 18:52:34,1.8.1,ClosedEcon_PR1,5,4.02,1,7,Left,Left,28,10,6,6,nan,nan,0.2
2021/07/08 18:52:37,1.8.1,ClosedEcon_PR1,5,4.02,2,7,Pellet,Left,28,10,7,7,0.26,273,nan
2021/07/08 18:57:13,1.8.1,ClosedEcon_PR1,5,4.02,1,8,Left,Left,29,10,7,7,nan,nan,0.12
2021/07/08 18:57:25,1.8.1,ClosedEcon_PR1,5,4.02,1,8,Left,Left,30,10,7,7,nan,nan,0.11
2021/07/08 18:57:27,1.8.1,ClosedEcon_PR1,5,4.02,1,8,Left,Left,31,10,7,7,nan,nan,0.14
2021/07/08 18:57:32,1.8.1,ClosedEcon_PR1,5,4.02,1,8,Right,Left,31,11,7,7,nan,nan,0.17
2021/07/08 18:57:38,1.8.1,ClosedEcon_PR1,5,4.02,1,8,Left,Left,32,11,7,7,nan,nan,0.18
2021/07/08 18:57:44,1.8.1,ClosedEcon_PR1,5,4.02,1,8,Right,Left,32,12,7,7,nan,nan,0.2
2021/07/08 18:58:12,1.8.1,ClosedEcon_PR1,5,4.02,1,8,Right,Left,32,13,7,7,nan,nan,0.73
2021/07/08 18:58:17,1.8.1,ClosedEcon_PR1,5,4.02,1,8,Left,Left,33,13,7,7,nan,nan,0.01
2021/07/08 18:58:56,1.8.1,ClosedEcon_PR1,5,4.02,1,8,Right,Left,33,14,7,7,nan,nan,0.06
2021/07/08 18:58:59,1.8.1,ClosedEcon_PR1,5,4.02,1,8,Left,Left,34,14,7,7,nan,nan,0.1
2021/07/08 18:59:32,1.8.1,ClosedEcon_PR1,5,4.02,1,8,Right,Left,34,15,7,7,nan,nan,0.06
2021/07/08 19:00:09,1.8.1,ClosedEcon_PR1,5,4.02,1,8,Left,Left,35,15,7,7,nan,nan,0.09
2021/07/08 19:00:11,1.8.1,ClosedEcon_PR1,5,4.02,1,8,Left,Left,36,15,7,7,nan,nan,0.12
2021/07/08 19:00:12,1.8.1,ClosedEcon_PR1,5,4.02,1,8,Pellet,Left,36,15,8,8,0.65,455,nan
2021/07/08 19:00:47,1.8.1,ClosedEcon_PR1,5,4.02,1,9,Right,Left,36,16,8,8,nan,nan,0.06
2021/07/08 19:00:49,1.8.1,ClosedEcon_PR1,5,4.02,1,9,Left,Left,37,16,8,8,nan,nan,0.01
2021/07/08 19:00:57,1.8.1,ClosedEcon_PR1,5,4.02,1,9,Left,Left,38,16,8,8,nan,nan,0.06
2021/07/08 19:01:00,1.8.1,ClosedEcon_PR1,5,4.02,1,9,Right,Left,38,17,8,8,nan,nan,0.14
2021/07/08 19:01:00,1.8.1,ClosedEcon_PR1,5,4.02,1,9,Left,Left,39,17,8,8,nan,nan,0.05
2021/07/08 19:01:01,1.8.1,ClosedEcon_PR1,5,4.02,1,9,Left,Left,40,17,8,8,nan,nan,0
2021/07/08 19:01:14,1.8.1,ClosedEcon_PR1,5,4.02,1,9,Left,Left,41,17,8,8,nan,nan,0.13
2021/07/08 19:01:16,1.8.1,ClosedEcon_PR1,5,4.02,1,9,Left,Left,42,17,8,8,nan,nan,0.16
2021/07/08 19:01:18,1.8.1,ClosedEcon_PR1,5,4.02,1,9,Left,Left,43,17,8,8,nan,nan,0.11
2021/07/08 19:01:19,1.8.1,ClosedEcon_PR1,5,4.02,1,9,Left,Left,44,17,8,8,nan,nan,0.1
2021/07/08 19:01:21,1.8.1,ClosedEcon_PR1,5,4.02,1,9,Left,Left,45,17,8,8,nan,nan,0.07
2021/07/08 19:01:22,1.8.1,ClosedEcon_PR1,5,4.02,1,9,Pellet,Left,45,17,9,9,0.39,70,nan
2021/07/08 19:02:27,1.8.1,ClosedEcon_PR1,5,4.02,1,10,Left,Left,46,17,9,9,nan,nan,0.05
2021/07/08 19:02:36,1.8.1,ClosedEcon_PR1,5,4.02,1,10,Right,Left,46,18,9,9,nan,nan,0.1
2021/07/08 19:02:38,1.8.1,ClosedEcon_PR1,5,4.02,1,10,Right,Left,46,19,9,9,nan,nan,0.05
2021/07/08 19:02:39,1.8.1,ClosedEcon_PR1,5,4.02,1,10,Right,Left,46,20,9,9,nan,nan,0.04
2021/07/08 19:02:40,1.8.1,ClosedEcon_PR1,5,4.02,1,10,Right,Left,46,21,9,9,nan,nan,0
2021/07/08 19:02:41,1.8.1,ClosedEcon_PR1,5,4.02,1,10,Right,Left,46,22,9,9,nan,nan,0.07
2021/07/08 19:02:44,1.8.1,ClosedEcon_PR1,5,4.02,1,10,Left,Left,47,22,9,9,nan,nan,1.42
2021/07/08 19:02:47,1.8.1,ClosedEcon_PR1,5,4.02,1,10,Left,Left,48,22,9,9,nan,nan,0.46
2021/07/08 19:02:48,1.8.1,ClosedEcon_PR1,5,4.02,1,10,Left,Left,49,22,9,9,nan,nan,0.17
2021/07/08 19:02:50,1.8.1,ClosedEcon_PR1,5,4.02,1,10,Left,Left,50,22,9,9,nan,nan,0.22
2021/07/08 19:02:52,1.8.1,ClosedEcon_PR1,5,4.02,1,10,Left,Left,51,22,9,9,nan,nan,0.13
2021/07/08 19:03:20,1.8.1,ClosedEcon_PR1,5,4.02,1,10,Left,Left,52,22,9,9,nan,nan,0.05
2021/07/08 19:04:24,1.8.1,ClosedEcon_PR1,5,4.02,1,10,Right,Left,52,23,9,9,nan,nan,0.11
2021/07/08 19:14:59,1.8.1,ClosedEcon_PR1,5,4.02,1,10,Left,Left,53,23,9,9,nan,nan,0.15
2021/07/08 19:15:01,1.8.1,ClosedEcon_PR1,5,4.02,1,10,Left,Left,54,23,9,9,nan,nan,0.06
2021/07/08 19:15:03,1.8.1,ClosedEcon_PR1,5,4.02,1,10,Left,Left,55,23,9,9,nan,nan,0.12
2021/07/08 19:15:05,1.8.1,ClosedEcon_PR1,5,4.02,1,10,Pellet,Left,55,23,10,10,1.18,823,nan
2021/07/08 19:15:55,1.8.1,ClosedEcon_PR1,5,4.02,1,11,Left,Left,56,23,10,10,nan,nan,0.13
2021/07/08 19:15:56,1.8.1,ClosedEcon_PR1,5,4.02,1,11,Left,Left,57,23,10,10,nan,nan,0.26
2021/07/08 19:15:58,1.8.1,ClosedEcon_PR1,5,4.02,1,11,Left,Left,58,23,10,10,nan,nan,0.15
2021/07/08 19:15:59,1.8.1,ClosedEcon_PR1,5,4.02,1,11,Left,Left,59,23,10,10,nan,nan,0.08
2021/07/08 19:16:01,1.8.1,ClosedEcon_PR1,5,4.02,1,11,Left,Left,60,23,10,10,nan,nan,0.08
2021/07/08 19:16:03,1.8.1,ClosedEcon_PR1,5,4.02,1,11,Left,Left,61,23,10,10,nan,nan,0.07
2021/07/08 19:16:20,1.8.1,ClosedEcon_PR1,5,4.02,1,11,Left,Left,62,23,10,10,nan,nan,0.12
2021/07/08 19:17:15,1.8.1,ClosedEcon_PR1,5,4.02,1,11,Left,Left,63,23,10,10,nan,nan,0.04
2021/07/08 19:17:18,1.8.1,ClosedEcon_PR1,5,4.02,1,11,Left,Left,64,23,10,10,nan,nan,0.18
2021/07/08 19:17:19,1.8.1,ClosedEcon_PR1,5,4.02,1,11,Left,Left,65,23,10,10,nan,nan,0.2
2021/07/08 19:18:47,1.8.1,ClosedEcon_PR1,5,4.02,1,11,Left,Left,66,23,10,10,nan,nan,0.12
2021/07/08 19:18:49,1.8.1,ClosedEcon_PR1,5,4.02,1,11,Pellet,Left,66,23,11,11,0.66,224,nan
2021/07/08 19:19:20,1.8.1,ClosedEcon_PR1,5,4.02,1,12,Left,Left,67,23,11,11,nan,nan,0.11
2021/07/08 19:19:21,1.8.1,ClosedEcon_PR1,5,4.02,1,12,Left,Left,68,23,11,11,nan,nan,0.35
2021/07/08 19:20:54,1.8.1,ClosedEcon_PR1,5,4.02,1,12,Left,Left,69,23,11,11,nan,nan,0.03
2021/07/08 19:23:36,1.8.1,ClosedEcon_PR1,5,4.02,1,12,Left,Left,70,23,11,11,nan,nan,0.11
2021/07/08 19:23:39,1.8.1,ClosedEcon_PR1,5,4.02,1,12,Left,Left,71,23,11,11,nan,nan,0.09
2021/07/08 19:23:41,1.8.1,ClosedEcon_PR1,5,4.02,1,12,Left,Left,72,23,11,11,nan,nan,0.17
2021/07/08 19:23:42,1.8.1,ClosedEcon_PR1,5,4.02,1,12,Left,Left,73,23,11,11,nan,nan,0.09
2021/07/08 19:23:44,1.8.1,ClosedEcon_PR1,5,4.02,1,12,Left,Left,74,23,11,11,nan,nan,0.23
2021/07/08 19:23:46,1.8.1,ClosedEcon_PR1,5,4.02,1,12,Left,Left,75,23,11,11,nan,nan,0.2
2021/07/08 19:23:48,1.8.1,ClosedEcon_PR1,5,4.02,1,12,Left,Left,76,23,11,11,nan,nan,0.19
2021/07/08 19:23:55,1.8.1,ClosedEcon_PR1,5,4.02,1,12,Left,Left,77,23,11,11,nan,nan,0.18
2021/07/08 19:24:05,1.8.1,ClosedEcon_PR1,5,4.02,1,12,Left,Left,78,23,11,11,nan,nan,0.17
2021/07/08 19:24:07,1.8.1,ClosedEcon_PR1,5,4.02,1,12,Pellet,Left,78,23,12,12,1.51,318,nan
2021/07/08 19:26:12,1.8.1,ClosedEcon_PR1,5,4.02,1,13,Left,Left,79,23,12,12,nan,nan,0.13
2021/07/08 19:26:14,1.8.1,ClosedEcon_PR1,5,4.02,1,13,Left,Left,80,23,12,12,nan,nan,0.12
2021/07/08 19:26:16,1.8.1,ClosedEcon_PR1,5,4.02,1,13,Left,Left,81,23,12,12,nan,nan,0.26
2021/07/08 19:26:21,1.8.1,ClosedEcon_PR1,5,4.02,1,13,Left,Left,82,23,12,12,nan,nan,0.12
2021/07/08 19:26:22,1.8.1,ClosedEcon_PR1,5,4.02,1,13,Left,Left,83,23,12,12,nan,nan,0.12
2021/07/08 19:26:26,1.8.1,ClosedEcon_PR1,5,4.01,1,13,Right,Left,83,24,12,12,nan,nan,0.19
2021/07/08 19:26:30,1.8.1,ClosedEcon_PR1,5,4.02,1,13,Left,Left,84,24,12,12,nan,nan,0.16
2021/07/08 19:26:31,1.8.1,ClosedEcon_PR1,5,4.02,1,13,Left,Left,85,24,12,12,nan,nan,0.18
2021/07/08 19:26:32,1.8.1,ClosedEcon_PR1,5,4.02,1,13,Left,Left,86,24,12,12,nan,nan,0.29
2021/07/08 19:26:36,1.8.1,ClosedEcon_PR1,5,4.02,1,13,Left,Left,87,24,12,12,nan,nan,0.08
2021/07/08 19:26:37,1.8.1,ClosedEcon_PR1,5,4.02,1,13,Left,Left,88,24,12,12,nan,nan,0.02
2021/07/08 19:26:38,1.8.1,ClosedEcon_PR1,5,4.02,1,13,Left,Left,89,24,12,12,nan,nan,0.14
2021/07/08 19:26:40,1.8.1,ClosedEcon_PR1,5,4.02,1,13,Left,Left,90,24,12,12,nan,nan,0.1
2021/07/08 19:26:41,1.8.1,ClosedEcon_PR1,5,4.02,1,13,Left,Left,91,24,12,12,nan,nan,0.15
2021/07/08 19:26:43,1.8.1,ClosedEcon_PR1,5,4.02,1,13,Pellet,Left,91,24,13,13,0.33,155,nan
2021/07/08 19:27:14,1.8.1,ClosedEcon_PR1,5,4.02,1,14,Left,Left,92,24,13,13,nan,nan,0.02
2021/07/08 19:28:43,1.8.1,ClosedEcon_PR1,5,4.02,1,14,Right,Left,92,25,13,13,nan,nan,0.14
2021/07/08 19:29:22,1.8.1,ClosedEcon_PR1,5,4.02,1,14,Right,Left,92,26,13,13,nan,nan,0.06
2021/07/08 19:29:24,1.8.1,ClosedEcon_PR1,5,4.02,1,14,Left,Left,93,26,13,13,nan,nan,0.19
2021/07/08 19:29:26,1.8.1,ClosedEcon_PR1,5,4.02,1,14,Left,Left,94,26,13,13,nan,nan,0.16
2021/07/08 19:29:27,1.8.1,ClosedEcon_PR1,5,4.02,1,14,Left,Left,95,26,13,13,nan,nan,0.12
2021/07/08 19:32:36,1.8.1,ClosedEcon_PR1,5,4.02,1,14,Left,Left,96,26,13,13,nan,nan,0.16
2021/07/08 19:34:20,1.8.1,ClosedEcon_PR1,5,4.02,1,14,Right,Left,96,27,13,13,nan,nan,0.1
2021/07/08 19:42:44,1.8.1,ClosedEcon_PR1,5,4.02,1,14,Left,Left,97,27,13,13,nan,nan,0.06
2021/07/08 19:42:50,1.8.1,ClosedEcon_PR1,5,4.02,1,14,Left,Left,98,27,13,13,nan,nan,0.07
2021/07/08 19:42:52,1.8.1,ClosedEcon_PR1,5,4.02,1,14,Left,Left,99,27,13,13,nan,nan,0.08
2021/07/08 19:42:54,1.8.1,ClosedEcon_PR1,5,4.02,1,14,Left,Left,100,27,13,13,nan,nan,0.06
2021/07/08 19:42:56,1.8.1,ClosedEcon_PR1,5,4.02,1,14,Left,Left,101,27,13,13,nan,nan,0.04
2021/07/08 19:43:22,1.8.1,ClosedEcon_PR1,5,4.02,1,14,Left,Left,102,27,13,13,nan,nan,0.06
2021/07/08 19:43:24,1.8.1,ClosedEcon_PR1,5,4.02,1,14,Left,Left,103,27,13,13,nan,nan,0.04
2021/07/08 19:43:56,1.8.1,ClosedEcon_PR1,5,4.02,1,14,Right,Left,103,28,13,13,nan,nan,0.04
2021/07/08 19:46:28,1.8.1,ClosedEcon_PR1,5,4.02,1,14,Left,Left,104,28,13,13,nan,nan,0.07
2021/07/08 19:46:40,1.8.1,ClosedEcon_PR1,5,4.02,1,14,Left,Left,105,28,13,13,nan,nan,0.17
2021/07/08 19:46:41,1.8.1,ClosedEcon_PR1,5,4.02,1,14,Pellet,Left,105,28,14,14,0.39,1199,nan
2021/07/08 19:49:31,1.8.1,ClosedEcon_PR1,5,4.02,1,15,Left,Left,106,28,14,14,nan,nan,0.05
2021/07/08 19:49:33,1.8.1,ClosedEcon_PR1,5,4.03,1,15,Left,Left,107,28,14,14,nan,nan,0.08
2021/07/08 19:49:34,1.8.1,ClosedEcon_PR1,5,4.02,1,15,Left,Left,108,28,14,14,nan,nan,0.15
2021/07/08 19:49:36,1.8.1,ClosedEcon_PR1,5,4.02,1,15,Left,Left,109,28,14,14,nan,nan,0.09
2021/07/08 19:49:39,1.8.1,ClosedEcon_PR1,5,4.02,1,15,Left,Left,110,28,14,14,nan,nan,0.26
2021/07/08 19:53:30,1.8.1,ClosedEcon_PR1,5,4.02,1,15,Right,Left,110,29,14,14,nan,nan,0.12
2021/07/08 19:53:34,1.8.1,ClosedEcon_PR1,5,4.02,1,15,Right,Left,110,30,14,14,nan,nan,0.19
2021/07/08 19:53:36,1.8.1,ClosedEcon_PR1,5,4.02,1,15,Left,Left,111,30,14,14,nan,nan,0.02
2021/07/08 19:53:38,1.8.1,ClosedEcon_PR1,5,4.02,1,15,Left,Left,112,30,14,14,nan,nan,0.23
2021/07/08 19:53:40,1.8.1,ClosedEcon_PR1,5,4.02,1,15,Left,Left,113,30,14,14,nan,nan,0.43
2021/07/08 19:54:42,1.8.1,ClosedEcon_PR1,5,4.02,1,15,Left,Left,114,30,14,14,nan,nan,0.05
2021/07/08 19:54:47,1.8.1,ClosedEcon_PR1,5,4.02,1,15,Left,Left,115,30,14,14,nan,nan,0.12
2021/07/08 19:59:39,1.8.1,ClosedEcon_PR1,5,4.02,1,15,Left,Left,116,30,14,14,nan,nan,0.12
2021/07/08 19:59:41,1.8.1,ClosedEcon_PR1,5,4.02,1,15,Left,Left,117,30,14,14,nan,nan,0.06
2021/07/08 19:59:44,1.8.1,ClosedEcon_PR1,5,4.02,1,15,Left,Left,118,30,14,14,nan,nan,0.08
2021/07/08 20:01:27,1.8.1,ClosedEcon_PR1,5,4.02,1,15,Left,Left,119,30,14,14,nan,nan,0.17
2021/07/08 20:01:28,1.8.1,ClosedEcon_PR1,5,4.02,1,15,Left,Left,120,30,14,14,nan,nan,0.04
2021/07/08 20:01:29,1.8.1,ClosedEcon_PR1,5,4.02,1,15,Pellet,Left,120,30,15,15,0.59,888,nan
2021/07/08 20:02:48,1.8.1,ClosedEcon_PR1,5,4.02,1,16,Left,Left,121,30,15,15,nan,nan,0.05
2021/07/08 20:02:49,1.8.1,ClosedEcon_PR1,5,4.02,1,16,Left,Left,122,30,15,15,nan,nan,0.25
2021/07/08 20:02:51,1.8.1,ClosedEcon_PR1,5,4.02,1,16,Left,Left,123,30,15,15,nan,nan,0.28
2021/07/08 20:02:57,1.8.1,ClosedEcon_PR1,5,4.02,1,16,Left,Left,124,30,15,15,nan,nan,0
2021/07/08 20:03:03,1.8.1,ClosedEcon_PR1,5,4.02,1,16,Left,Left,125,30,15,15,nan,nan,0.14
2021/07/08 20:03:09,1.8.1,ClosedEcon_PR1,5,4.02,1,16,Left,Left,126,30,15,15,nan,nan,0.19
2021/07/08 20:03:10,1.8.1,ClosedEcon_PR1,5,4.02,1,16,Left,Left,127,30,15,15,nan,nan,0.17
2021/07/08 20:03:12,1.8.1,ClosedEcon_PR1,5,4.02,1,16,Left,Left,128,30,15,15,nan,nan,0.34
2021/07/08 20:03:13,1.8.1,ClosedEcon_PR1,5,4.02,1,16,Left,Left,129,30,15,15,nan,nan,0.17
2021/07/08 20:03:14,1.8.1,ClosedEcon_PR1,5,4.02,1,16,Left,Left,130,30,15,15,nan,nan,0.04
2021/07/08 20:03:16,1.8.1,ClosedEcon_PR1,5,4.02,1,16,Left,Left,131,30,15,15,nan,nan,0.16
2021/07/08 20:03:20,1.8.1,ClosedEcon_PR1,5,4.02,1,16,Left,Left,132,30,15,15,nan,nan,0.14
2021/07/08 20:03:21,1.8.1,ClosedEcon_PR1,5,4.02,1,16,Left,Left,133,30,15,15,nan,nan,0.23
2021/07/08 20:03:25,1.8.1,ClosedEcon_PR1,5,4.02,1,16,Left,Left,134,30,15,15,nan,nan,0.2
2021/07/08 20:03:26,1.8.1,ClosedEcon_PR1,5,4.02,1,16,Left,Left,135,30,15,15,nan,nan,0.14
2021/07/08 20:03:28,1.8.1,ClosedEcon_PR1,5,4.02,1,16,Left,Left,136,30,15,15,nan,nan,0.27
2021/07/08 20:03:29,1.8.1,ClosedEcon_PR1,5,4.02,1,16,Pellet,Left,136,30,16,16,0.32,120,nan
2021/07/08 20:03:55,1.8.1,ClosedEcon_PR1,5,4.02,1,17,Left,Left,137,30,16,16,nan,nan,0.08
2021/07/08 20:05:08,1.8.1,ClosedEcon_PR1,5,4.02,1,17,Left,Left,138,30,16,16,nan,nan,0.37
2021/07/08 20:05:10,1.8.1,ClosedEcon_PR1,5,4.02,1,17,Left,Left,139,30,16,16,nan,nan,0.17
2021/07/08 20:05:12,1.8.1,ClosedEcon_PR1,5,4.01,1,17,Left,Left,140,30,16,16,nan,nan,0.2
2021/07/08 20:05:16,1.8.1,ClosedEcon_PR1,5,4.02,1,17,Right,Left,140,31,16,16,nan,nan,0.5
2021/07/08 20:05:18,1.8.1,ClosedEcon_PR1,5,4.02,1,17,Left,Left,141,31,16,16,nan,nan,0.33
2021/07/08 20:05:19,1.8.1,ClosedEcon_PR1,5,4.02,1,17,Left,Left,142,31,16,16,nan,nan,0.37
2021/07/08 20:05:20,1.8.1,ClosedEcon_PR1,5,4.02,1,17,Left,Left,143,31,16,16,nan,nan,0
2021/07/08 20:05:22,1.8.1,ClosedEcon_PR1,5,4.02,1,17,Left,Left,144,31,16,16,nan,nan,0.09
2021/07/08 20:05:23,1.8.1,ClosedEcon_PR1,5,4.02,1,17,Left,Left,145,31,16,16,nan,nan,0.12
2021/07/08 20:05:25,1.8.1,ClosedEcon_PR1,5,4.02,1,17,Left,Left,146,31,16,16,nan,nan,0.09
2021/07/08 20:05:27,1.8.1,ClosedEcon_PR1,5,4.02,1,17,Left,Left,147,31,16,16,nan,nan,0.14
2021/07/08 20:06:21,1.8.1,ClosedEcon_PR1,5,4.02,1,17,Right,Left,147,32,16,16,nan,nan,0.06
2021/07/08 20:06:23,1.8.1,ClosedEcon_PR1,5,4.02,1,17,Left,Left,148,32,16,16,nan,nan,0.02
2021/07/08 20:06:24,1.8.1,ClosedEcon_PR1,5,4.02,1,17,Left,Left,149,32,16,16,nan,nan,0
2021/07/08 20:06:27,1.8.1,ClosedEcon_PR1,5,4.02,1,17,Left,Left,150,32,16,16,nan,nan,0.13
2021/07/08 20:06:31,1.8.1,ClosedEcon_PR1,5,4.02,1,17,Left,Left,151,32,16,16,nan,nan,0.17
2021/07/08 20:06:32,1.8.1,ClosedEcon_PR1,5,4.02,1,17,Left,Left,152,32,16,16,nan,nan,0.12
2021/07/08 20:06:37,1.8.1,ClosedEcon_PR1,5,4.02,1,17,Left,Left,153,32,16,16,nan,nan,0.14
2021/07/08 20:06:39,1.8.1,ClosedEcon_PR1,5,4.02,1,17,Pellet,Left,153,32,17,17,0.99,190,nan
2021/07/08 20:07:36,1.8.1,ClosedEcon_PR1,5,4.02,1,18,Right,Left,153,33,17,17,nan,nan,0.06
2021/07/08 20:08:03,1.8.1,ClosedEcon_PR1,5,4.02,1,18,Right,Left,153,34,17,17,nan,nan,0.03
2021/07/08 20:08:10,1.8.1,ClosedEcon_PR1,5,4.02,1,18,Left,Left,154,34,17,17,nan,nan,0.26
2021/07/08 20:08:12,1.8.1,ClosedEcon_PR1,5,4.02,1,18,Left,Left,155,34,17,17,nan,nan,0.09
2021/07/08 20:11:07,1.8.1,ClosedEcon_PR1,5,4.02,1,18,Left,Left,156,34,17,17,nan,nan,0.22
2021/07/08 20:11:09,1.8.1,ClosedEcon_PR1,5,4.02,1,18,Left,Left,157,34,17,17,nan,nan,0.21
2021/07/08 20:11:10,1.8.1,ClosedEcon_PR1,5,4.02,1,18,Left,Left,158,34,17,17,nan,nan,0.17
2021/07/08 20:11:12,1.8.1,ClosedEcon_PR1,5,4.02,1,18,Left,Left,159,34,17,17,nan,nan,0.14
2021/07/08 20:11:27,1.8.1,ClosedEcon_PR1,5,4.02,1,18,Left,Left,160,34,17,17,nan,nan,0.07
